apt_code,airport,total_population,,provinces
219,DTU,4981138.59,CN,CN-HL
220,JSJ,1917780.12,CN,CN-HL
221,JMU,4885515.32,CN,CN-HL
222,MDG,3630635.66,CN,CN-HL
223,FYJ,232744.8,CN,CN-HL
224,JXA,3602562.17,CN,CN-HL
225,HRB,14433919.11,CN,CN-HL
226,DQA,5636929.98,CN,CN-HL
227,NDG,4173095.86,CN,CN-HL
228,HCZ,5060352.97,CN,CN-HN
229,DYG,3063727.19,CN,CN-HN
230,HJJ,5022882.58,CN,CN-HN
231,LLF,8590181.42,CN,CN-HN
232,CSX,16600047.78,CN,CN-HN
233,CGD,11021265.86,CN,CN-HN
234,TEN,1541650.23,CN,CN-HN
235,HNY,10732605.86,CN,CN-HN
236,YNJ,2026005.9,CN,CN-JL
237,NBS,2051929.96,CN,CN-JL
238,DBC,3083671.8,CN,CN-JL
239,TNH,3601139.99,CN,CN-JL
240,CGQ,20729466.35,CN,CN-JL
241,YNZ,5466359.25,CN,CN-JS
242,NTG,9723655.57,CN,CN-JS
243,HIA,9219669.05,CN,CN-JS
244,YTY,7559240.84,CN,CN-JS
245,XUZ,7905228.83,CN,CN-JS
246,NKG,11214575.26,CN,CN-JS
247,CZX,10427869.67,CN,CN-JS
248,LYG,4774173.78,CN,CN-JS
249,WUX,17895893.14,CN,CN-JS
250,SQD,5047779.21,CN,CN-JX
251,YIC,6387476.92,CN,CN-JX
252,KHN,13311186.55,CN,CN-JX
253,JGS,5254749.66,CN,CN-JX
254,KOW,8227338.93,CN,CN-JX
255,JDZ,4129764.2,CN,CN-JX
256,JIU,3289065.12,CN,CN-JX
257,SHE,15574557.29,CN,CN-LN
258,DDG,3777650.99,CN,CN-LN
259,JNZ,5960172.52,CN,CN-LN
260,CHG,4098988.14,CN,CN-LN
261,AOG,6369666.91,CN,CN-LN
262,YKH,6246835.19,CN,CN-LN
263,DLC,9196929.98,CN,CN-LN
264,AXF,186296.5,CN,CN-NM
265,EJN,40645.89,CN,CN-NM
266,HLD,1082556.75,CN,CN-NM
267,JGD,744112.34,CN,CN-NM
268,NZH,189198.97,CN,CN-NM
269,RHT,38810.38,CN,CN-NM
270,XIL,874812.19,CN,CN-NM
271,YIE,118560.53,CN,CN-NM
272,HUO,1081491.62,CN,CN-NM
273,NZL,1105805.75,CN,CN-NM
274,WUA,1347525.79,CN,CN-NM
275,ERL,192489.21,CN,CN-NM
276,RLK,1473758.14,CN,CN-NM
277,BAV,3855929.41,CN,CN-NM
278,HLH,1511741.5,CN,CN-NM
279,HET,4021594.2,CN,CN-NM
280,UCB,1776446.72,CN,CN-NM
281,DSN,1865789.32,CN,CN-NM
282,CIF,3640050.96,CN,CN-NM
283,TGO,3497493.06,CN,CN-NM
284,ZHY,2632991.55,CN,CN-NX
285,INC,4567572.82,CN,CN-NX
286,GMQ,552194.8,CN,CN-QH
287,GOQ,354809.67,CN,CN-QH
288,HBQ,279132.03,CN,CN-QH
289,HTT,49970.37,CN,CN-QH
290,HXD,312381.15,CN,CN-QH
291,YUS,481940.44,CN,CN-QH
292,XNN,4468168.54,CN,CN-QH
293,AHJ,340244.3,CN,CN-SC
294,GZG,497408.24,CN,CN-SC
295,DCY,293702.81,CN,CN-SC
296,JZH,289306.12,CN,CN-SC
297,KGT,1299526.87,CN,CN-SC
298,CTU,19027543.71,CN,CN-SC
299,XIC,3525400.89,CN,CN-SC
300,MIG,6062631.76,CN,CN-SC
301,BZX,4969104.19,CN,CN-SC
302,PZI,2220394.35,CN,CN-SC
303,YBP,6010710.59,CN,CN-SC
304,GYS,1455872.88,CN,CN-SC
305,DAX,5692428.22,CN,CN-SC
306,LZO,6608175.41,CN,CN-SC
307,TFU,7002252.64,CN,CN-SC
308,NAO,8054664.35,CN,CN-SC
309,DOY,6044300.51,CN,CN-SD
310,WEF,11436693.6,CN,CN-SD
311,LYI,13457184.14,CN,CN-SD
312,YNT,9335347.64,CN,CN-SD
313,TAO,12884210.39,CN,CN-SD
314,WEH,2331806.83,CN,CN-SD
315,TNA,23254278.16,CN,CN-SD
316,JNG,26833946.05,CN,CN-SD
317,PVG,6128233.53,CN,CN-SH
318,SHA,21164189.29,CN,CN-SH
319,HZG,4508510.9,CN,CN-SN
320,ENY,3565728.52,CN,CN-SN
321,XIY,22635585.46,CN,CN-SN
322,UYN,2784038.31,CN,CN-SN
323,AKA,3679395.67,CN,CN-SN
324,TYN,8874306.63,CN,CN-SX
325,WUT,4432332.95,CN,CN-SX
326,LLV,4268482.41,CN,CN-SX
327,LFQ,5706931.77,CN,CN-SX
328,DAT,5112579.14,CN,CN-SX
329,CIH,5759122.15,CN,CN-SX
330,YCU,5630655.03,CN,CN-SX
331,TSN,19467056.9,CN,CN-TJ
332,AAT,352868.1,CN,CN-XJ
333,AKU,1797630.81,CN,CN-XJ
334,FYN,185867.18,CN,CN-XJ
335,HMI,719348.56,CN,CN-XJ
336,HTN,1760840.04,CN,CN-XJ
337,IQM,79298.7,CN,CN-XJ
338,KCA,1234313.67,CN,CN-XJ
339,KHG,2789594.63,CN,CN-XJ
340,KRL,1343199.66,CN,CN-XJ
341,KRY,895998.39,CN,CN-XJ
342,NLT,633592.85,CN,CN-XJ
343,QSZ,2536014.4,CN,CN-XJ
344,RQA,51172.63,CN,CN-XJ
345,SHF,1953607.37,CN,CN-XJ
346,TLQ,1209674.85,CN,CN-XJ
347,TWC,513512.95,CN,CN-XJ
348,URC,5667825.65,CN,CN-XJ
349,YTW,453704.69,CN,CN-XJ
350,KJI,271727.64,CN,CN-XJ
351,YIN,2119936.48,CN,CN-XJ
